Katia;5
Sofia;47
Yetta;24
Edelmira;5
Phillis;70
Shari;40
Theola;64
Marisha;20
Lyman;27
Elene;20
Alfreda;69
Matt;8
Reed;50
Jacquetta;26
Odell;12
Carmela;56
Austin;24
Marc;9
Albertha;18
Laurel;13
Haywood;29
Landon;53
Renae;51
Nakita;10
Marx;64
Felisha;45
Harrison;69
Robbin;8
Simon;21
Kelly;67
Madeleine;42
Nana;21
Terrell;34
Jacquelin;5
Cinda;51
Katy;53
Penny;33
Emiko;22
Wanita;69
Daphine;32
Maxima;16
Sang;70
Traci;16
Alysha;56
Jocelyn;6
Jaquelyn;65
Benny;58
Genny;43
Marcelina;62
Louetta;48